,created,sentiment_score
9769,1657054412,0.0
9770,1657056820,0.0
9771,1657058291,4.0
9772,1657061968,3.0
9773,1657062885,4.0
9774,1657065169,6.0
9775,1657068920,8.0
9776,1657073157,5.0
9777,1657075351,-1.0
9778,1657078452,-1.0
9779,1657084171,3.0
9780,1657085839,-3.0
9781,1657088328,0.0
9782,1657090364,2.0
9783,1657098182,5.0
9784,1657104213,-4.0
9785,1657105746,5.0
9786,1657110531,13.0
9787,1657111704,2.0
9788,1657112354,10.0
9789,1657113092,1.0
9790,1657115583,4.0
9791,1657116282,16.0
9792,1657116663,-2.0
9793,1657119801,1.0
9794,1657120437,5.0
9795,1657120834,4.0
9796,1657121278,3.0
9797,1657127472,-5.0
9798,1657127501,8.0
9799,1657127912,13.0
9800,1657129258,3.0
9801,1657131258,0.0
9802,1657132423,6.0
9803,1657137073,2.0
9804,1657139876,3.0
9805,1657142361,2.0
9806,1657146281,1.0
9807,1657149412,8.0
9808,1657149868,0.0
9809,1657150485,2.0
9810,1657152052,5.0
9811,1657159894,7.0
9812,1657160098,3.0
9813,1657161362,8.0
9814,1657161555,8.0
9815,1657162118,-1.0
9816,1657163464,3.0
9817,1657165932,8.0
9818,1657166915,-3.0
9819,1657170577,3.0
9820,1657170649,-2.0
9821,1657172688,7.0
9822,1657174257,10.0
9823,1657175366,6.0
9824,1657175744,24.0
9825,1657182138,0.0
9826,1657188070,0.0
9827,1657189485,0.0
9828,1657193468,1.0
9829,1657194688,2.0
9830,1657196887,9.0
9831,1657197767,1.0
9832,1657201724,-1.0
9833,1657202862,3.0
9834,1657205757,-3.0
9835,1657207828,-3.0
9836,1657209688,6.0
9837,1657210373,9.0
9838,1657211291,1.0
9839,1657212485,9.0
9840,1657219002,10.0
9841,1657219494,1.0
9842,1657219710,5.0
9843,1657222684,3.0
9844,1657223339,16.0
9845,1657223895,3.0
9846,1657224405,-1.0
9847,1657226729,4.0
9848,1657228724,1.0
9849,1657229833,2.0
9850,1657230152,-1.0
9851,1657232115,9.0
9852,1657232326,1.0
9853,1657238410,3.0
9854,1657241463,-5.0
9855,1657242412,5.0
9856,1657242415,9.0
9857,1657243122,4.0
9858,1657245362,0.0
9859,1657250363,0.0
9860,1657252941,1.0
9861,1657254033,0.0
9862,1657255508,3.0
9863,1657256801,3.0
9864,1657257394,5.0
9865,1657260882,9.0
9866,1657266232,6.0
9867,1657269102,5.0
9868,1657276571,2.0
9869,1657276928,3.0
9870,1657281092,2.0
9871,1657284128,-5.0
9872,1657285428,2.0
9873,1657289148,2.0
9874,1657290807,1.0
9875,1657291116,4.0
9876,1657292329,3.0
9877,1657292803,5.0
9878,1657293149,10.0
9879,1657293971,8.0
9880,1657295937,-5.0
9881,1657297058,1.0
9882,1657297173,4.0
9883,1657298477,0.0
9884,1657298995,0.0
9885,1657301438,13.0
9886,1657301535,1.0
9887,1657303974,1.0
9888,1657309836,4.0
9889,1657311861,2.0
9890,1657312636,4.0
9891,1657314264,3.0
9892,1657314966,-2.0
9893,1657315448,-3.0
9894,1657318438,-2.0
9895,1657318830,-1.0
9896,1657319286,1.0
9897,1657320563,4.0
9898,1657320974,0.0
9899,1657322082,1.0
9900,1657322756,15.0
9901,1657327553,5.0
9902,1657329533,1.0
9903,1657330036,4.0
9904,1657335439,-5.0
9905,1657342846,3.0
9906,1657343187,4.0
9907,1657347081,2.0
9908,1657352682,11.0
9909,1657352915,5.0
9910,1657357975,2.0
9911,1657358911,1.0
9912,1657362011,9.0
9913,1657362352,0.0
9914,1657373713,1.0
9915,1657374591,4.0
9916,1657383567,3.0
9917,1657387725,-2.0
9918,1657387983,4.0
9919,1657388591,1.0
9920,1657392799,0.0
9921,1657394049,0.0
9922,1657395558,-2.0
9923,1657396725,1.0
9924,1657399976,0.0
9925,1657409062,3.0
9926,1657412312,11.0
9927,1657428154,3.0
9928,1657429248,-1.0
9929,1657429309,3.0
9930,1657431082,-1.0
9931,1657431890,2.0
9932,1657433501,11.0
9933,1657434517,2.0
9934,1657435036,6.0
9935,1657450491,4.0
9936,1657457657,8.0
9937,1657461974,2.0
9938,1657462332,15.0
9939,1657462759,4.0
9940,1657464768,-4.0
9941,1657469127,-1.0
9942,1657473882,0.0
9943,1657477439,1.0
9944,1657477478,4.0
9945,1657478123,0.0
9946,1657488171,0.0
9947,1657489843,-2.0
9948,1657492540,0.0
9949,1657493585,1.0
9950,1657496090,0.0
9951,1657498234,-1.0
9952,1657500012,-2.0
9953,1657501267,7.0
9954,1657508710,-5.0
9955,1657513841,4.0
9956,1657514704,9.0
9957,1657514792,3.0
9958,1657516243,3.0
9959,1657516779,-1.0
9960,1657519936,4.0
9961,1657520246,-2.0
9962,1657523734,2.0
9963,1657524459,3.0
9964,1657532196,-3.0
9965,1657532664,0.0
9966,1657538737,-3.0
9967,1657543589,-5.0
9968,1657545242,-1.0
9969,1657545253,7.0
9970,1657545281,4.0
9971,1657545449,3.0
9972,1657546119,1.0
9973,1657547841,3.0
9974,1657549542,8.0
9975,1657553849,-4.0
9976,1657557152,-3.0
9977,1657557352,5.0
9978,1657558892,7.0
9979,1657561712,0.0
9980,1657562280,5.0
9981,1657571059,1.0
9982,1657573520,-2.0
9983,1657574239,-1.0
9984,1657581776,9.0
9985,1657589177,3.0
9986,1657589769,3.0
9987,1657590547,5.0
9988,1657592318,0.0
9989,1657593760,3.0
9990,1657602500,3.0
9991,1657604396,9.0
9992,1657609623,2.0
9993,1657611725,2.0
9994,1657615461,10.0
9995,1657616979,9.0
9996,1657618635,2.0
9997,1657620598,7.0
9998,1657622661,8.0
9999,1657622951,6.0
10000,1657624203,0.0
10001,1657625064,0.0
10002,1657626380,6.0
10003,1657628912,-1.0
10004,1657631165,2.0
10005,1657632066,1.0
10006,1657632339,3.0
10007,1657632654,3.0
10008,1657635042,6.0
10009,1657636646,1.0
10010,1657637710,-1.0
10011,1657638499,7.0
10012,1657638958,0.0
10013,1657640573,9.0
10014,1657642553,1.0
10015,1657646015,0.0
10016,1657646376,-1.0
10017,1657647018,9.0
10018,1657648399,9.0
10019,1657648826,-7.0
10020,1657648925,2.0
10021,1657650365,-3.0
10022,1657650401,1.0
10023,1657653105,6.0
10024,1657654984,-2.0
10025,1657655610,3.0
10026,1657656335,6.0
10027,1657656478,-1.0
10028,1657656682,1.0
10029,1657656929,2.0
10030,1657657479,0.0
10031,1657657592,9.0
10032,1657658885,9.0
10033,1657658906,1.0
10034,1657659762,0.0
10035,1657659832,3.0
10036,1657660185,-7.0
10037,1657661144,-2.0
10038,1657663667,-2.0
10039,1657664240,4.0
10040,1657666952,6.0
10041,1657667329,5.0
10042,1657668203,4.0
10043,1657668938,-1.0
10044,1657671462,8.0
10045,1657678386,2.0
10046,1657681478,-5.0
10047,1657681631,1.0
10048,1657683824,5.0
10049,1657687825,11.0
10050,1657688960,3.0
10051,1657689183,-1.0
10052,1657692778,1.0
10053,1657693685,2.0
10054,1657699817,2.0
10055,1657711360,7.0
10056,1657711573,0.0
10057,1657717460,-4.0
10058,1657717843,0.0
10059,1657718357,11.0
10060,1657718626,0.0
10061,1657720522,7.0
10062,1657723369,-1.0
10063,1657724391,-1.0
